,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
HonorNite,B C D F,B C D F,,,B C D F,B C D F,B C D F,,LETTERS:,,
Desmond,,,,,,,,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Master,C D,C D,C D,C D,C D,C D,C D,,A,=,6 AM PST
Neryth,E F,E F,E F,E F,E F,E F,E F,,B,=,9 AM PST
DrugsAreBad,D F,D F,D F,D F,D F,,,,C,=,12 PM PST
BlueStar,,,,,,,,,D,=,3 PM PST
Wazi,D E F,D E F,D E F,C D E F,F,F,F,,E,=,6 PM PST
SoulXCross,,,D - E,D - E,D - E,,A - B,,F,=,9 PM PST
playerzero,B C,B C,B C,B C,B C,A B C,A B C,,,,
Netbattler S,A B,A B,A B,A B,A B,A B,C D E F,,,=,Notes contain detailed hours or conditions.
Korota,D E F,D E F, D E F,D E F,D E F, A B C D E F,A B C D E F,,COLOR CODES:,,
Alrysc,B C D E F,B C E F,B C D E F,B C E F,B C D E F,B C D E F,B C D E F,,,=,Mostly Available
M-Den,C D,C D,C D,C D,C D,C D,C D,,,=,Somewhat Available
Rocku,D,D,D,D E,,D E,D,,,=,Unavailable
Symes,B E F,,B C D E F,B C D E F,,B C D E F,B C D E F,,,,
ShironaNep,A B C F,A B C F,A B C F,A B C F,A B C F,A B C D E,A B C D E,,TIME ZONE CONVERTER,,
lizardlab,D,D,D E,B C D E,B C D E,D,D,,link,,
FIREBOLTBRO,,A B ,,A B,,A B,,,,,
Nonstopmop,F,F,F,F,D E F,D E F,D E F,,,,
EasyA,E,D E,E F,B C E, E F,B C D E,B C D E,,,,
WeenieWhistle,E,E,E,E,E,E,E,,,,
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,
Ghiaccio,C D E F,B C D E F,B C D E F,B C D E F,C D E F,C D E F,C D E F,,,,
