,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
HonorNite,B C D F,C D F,,,B C D F,B C D F,B C D F,,LETTERS:,,
AHeroOverNight,F,F,F,F,,,,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Entitas,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,A,=,6 AM PST
osiahene,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,B,=,9 AM PST
ChinaTV,C,C,C,C,C,C,C,,C,=,12 PM PST
Master S1X,B,B,B,B,"B,C",B,B,,D,=,3 PM PST
TBB2,E,E,E,E,E,E,E,,E,=,6 PM PST
Salad,,C D E,C D E,C D E,C D E,C D E,C D E,,F,=,9 PM PST
ShironaNep,A B C F,A B C F,A B C F,A B C F,A B C F,A B C F,A B C D E,,,,
Marvino,A D,A D,A D,A B C D E,A B C D E F,A D,A D,,,=,Notes contain detailed hours or conditions.
Broonster,,,,,,,,,COLOR CODES:,,
Buster Cannon,B C D E,B C D E,B C D E,B C D E,B C D E,B C D E,B C D E,,,=,Mostly Available
Soren,E F,E F,E F,E F,E F,B C D E F,B C D E F,,,=,Somewhat Available
Nonstopmop,C E F,C D E F,C D E F,C D E F,C D,C D,C D E F,,,=,Unavailable
flyingpenguiny,D E F,,D E F,D E F,D E F,D E F,D E F,,,,
Cupcake,B C D,A B C D,B C D,A B C D,A B C,D E F,D E F,,TIME ZONE CONVERTER,,
Master,C D E,C D E,C D E,C D E,C D E,C D E,C D E,,link,,
Rocku,D E,D E,D E,D E,,C D E,D E,,,,
Jo_java,F,,F,,,"C,D,F","C,D,F",,,,
Josue,C,C D E F,C D E,D E,C D E F,C D E F,C D E F,,,,
Godon,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,
Not3rdPerson,E F,A E F,A E F,A E F,A E F,A B C D E F,A B C D E F,,,,
Symes,E F,E F,E F,E F,E F,B C D E F,B C D E F,,,,
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,
SaekoMantis,B C E,C F,C F,B F,B C E,B C E,,,,,
Rad Hatter,B C E F,B C E F,B C E F,B C E F,A B,A B E F,C F,,,,
Neryth,D E F,D E F,D E F,D E F,D E F,E F,,,,,
Dorman,D E,D E,D E,D E,D E F,C D E F,C D E,,,,
playerzero,C,C,C,C,C,A B C ,A B C,,,,
WIMDY,B C D E F,D E F,D E F,D E F,D E F,B C D E F,B C D E F,,,,
