,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
playerzero, C D , C D , C D , C D , C D ,C D ,C D ,,LETTERS:,,
Zeii - Airspin Adept,D,D,D,D,D E F,D E F,D E F,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Symes,A EF,A EF,A EF,A EF,A EF,BCDEF,BCDEF,,A,=,6 AM PST
BitMuffin,B C,B C, B C,B C,B C,B C,B C,,B,=,9 AM PST
ElKiras,,,,,,,,,C,=,12 PM PST
Uvu,B C D,C D,B C,B C,,B C D,B C D,,D,=,3 PM PST
Joey☆Kobalt,"E, F","E, F",,"E,F ",,"C,D,E,F","C,D,E,F",,E,=,6 PM PST
Coyote,"B,C,D,E,F","B,C,D,E,F","B,C,D,E,F","B,C,D,E,F","B,C,D,E,F","B,C,D,E,F","B,C,D,E,F",,F,=,9 PM PST
Thiago,"D, E, F","D, E, F","D, E, F","D, E, F","D, E, F","D, E, F","D, E, F",,,,
Tchomp,,,,,,,,,,=,Notes contain detailed hours or conditions.
enduring ray,DEF,DEF,DEF,,DEF,BCDEF,CDEF,,COLOR CODES:,,
desmond,,,,,,,,,,=,Mostly Available
pppablo,,F,F,F,E F,F,C D E F,,,=,Somewhat Available
oOSpiderManOo,C-D,C-D,C-D,C-D,F - A,F - A,,,,=,Unavailable
Neryth,,,,,,,,,,,
tncargil,,,,,,,,,,,
Salad,,D E F,D E F,D EF,D E F,D E F,D E F,,TIME ZONE CONVERTER,,
Shadow,,,,,BC,BC,BC,,link,,
